# Wordlist

# META
@vowels:T V _

# DATA
ID	﻿ID	CONCEPT	TOKENS	DOCULECT	COGNACY	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	IPA	DUPLICATES	CUSTOMID	ALIGNMENT
154	154	black	mangu	Maori		4	A	M	2	2.M.C	2.0	mangu	0	72	mangu
389	389	black	loaloa	Fijian	40	5	A	L	1	1.L.C	2.0	loaloa	0	71	loaloa
#
25	25	blood	toto	Maori	4	1	A	T	2	2.T.C	2.0	toto	0	73	toto
253	253	blood	drÄ	Fijian	1	1	A	T	1	1.T.C	2.0	drÄ	0	73	drÄ
#
17	17	bone	iwi	Maori	"52,5"	7	X	I	2	2.I.V	1.5	iwi	0	75	iwi
245	245	bone	sui-na	Fijian	52	3	A	S	1	1.S.C	2.0	sui-na	0	74	sui-na
#
116	116	branch	manga	Maori	"2,35"	4	A	M	2	2.M.C	2.0	manga	0	77	manga
353	353	branch	taba-na	Fijian	13	1	A	T	1	1.T.C	2.0	taba-na	0	76	taba-na
#
20	20	breast	uu	Maori	1	7	X	Y	2	2.Y.V	1.5	uu	0	79	uu
248	248	breast	sucu-na	Fijian	1	3	A	S	1	1.S.C	2.0	sucu-na	0	78	sucu-na
#
58	58	child	tamaiti	Maori	"6,64"	1	A	T	2	2.T.C	2.0	tamaiti	0	81	tamaiti
288	288	child	gone	Fijian	27	1	A	K	1	1.K.C	2.0	gone	0	80	gone
#
137	137	cloud	kapua	Maori	"12, 67"	1	A	K	2	2.K.C	2.0	kapua	0	82	kapua
#
146	146	cold	makariri	Maori	"1,52"	4	A	M	2	2.M.C	2.0	makariri	0	84	makariri
381	381	cold	batabatÄ	Fijian	42	1	A	P	1	1.P.C	2.0	batabatÄ	0	83	batabatÄ
#
176	176	day	ao	Maori	"1, 54"	7	X	A	2	2.A.V	1.5	ao	0	86	ao
177	177	day	raa	Maori	7	5	A	R	2	2.R.C	2.0	raa	0	87	raa
411	411	day	siga	Fijian	23	3	A	S	1	1.S.C	2.0	siga	0	85	siga
#
11	11	dirty	paru	Maori	7	1	A	P	2	2.P.C	2.0	paru	0	89	paru
240	240	dirty	duka	Fijian	17	1	A	T	1	1.T.C	2.0	duka	0	88	duka
#
98	98	dog	kurii	Maori	7	1	A	K	2	2.K.C	2.0	kurii	0	90	kurii
335	335	dog	koli	Fijian	7	1	A	K	1	1.K.C	2.0	koli	0	90	koli
#
147	147	dry	maroke	Maori	13	4	A	M	2	2.M.C	2.0	maroke	0	91	maroke
382	382	dry	maca	Fijian	11	4	A	M	1	1.M.C	2.0	maca	0	91	maca
#
12	12	dust	pu|ehu	Maori	"1, 74"	1	A	P	2	2.P.C	2.0	pu|ehu	0	93	pu|ehu
13	13	dust	puehu	Maori	"1, 74"	1	A	P	2	2.P.C	2.0	puehu	0	93	puehu
241	241	dust	kuvu ni qele	Fijian	24	1 4 1	AXN	KNK	1	1.K.C 1.N.V 1.K.c	2.0 1.5 0.8	kuvuniqele	0	92	kuvu ni qele
#
45	45	ear	taringa	Maori	1	1	A	T	2	2.T.C	2.0	taringa	0	94	taringa
275	275	ear	daliga-na	Fijian	1	1	A	T	1	1.T.C	2.0	daliga-na	0	94	daliga-na
#
122	122	earth/soil	oneone	Maori	35	7	X	U	2	2.U.V	1.5	oneone	0	96	oneone
123	123	earth/soil	repo	Maori	11	5	A	R	2	2.R.C	2.0	repo	0	97	repo
124	124	earth/soil	kere-	Maori	10	1	A	K	2	2.K.C	2.0	kere-	0	95	kere-
360	360	earth/soil	qele	Fijian	10	1	A	K	1	1.K.C	2.0	qele	0	95	qele
#
100	100	egg	heeki	Maori		3	A	H	2	2.H.C	2.0	heeki	0	99	heeki -
101	101	egg	hua manu	Maori	5	3 4	AC	HM	2	2.H.C 2.M.C	2.0 1.5	huamanu	0	99	hua manu
337	337	egg	yaloka	Fijian	30	7	X	Y	1	1.Y.V	1.5	yaloka	0	98	yaloka
#
47	47	eye	mata	Maori	1	4	A	M	2	2.M.C	2.0	mata	0	100	mata
277	277	eye	mata-na	Fijian	1	4	A	M	1	1.M.C	2.0	mata-na	0	100	mata-na
#
192	192	far	tawhiti	Maori		1	A	T	2	2.T.C	2.0	tawhiti	0	102	tawhiti
425	425	far	yawa	Fijian	4	7	X	Y	1	1.Y.V	1.5	yawa	0	101	yawa
#
107	107	fat/grease	ngako	Maori	14	4	A	N	2	2.N.C	2.0	ngako	0	104	ngako
343	343	fat/grease	uro	Fijian	44	7	X	Y	1	1.Y.V	1.5	uro	0	103	uro
#
62	62	father	matua	Maori	"1,9"	4	A	M	2	2.M.C	2.0	matua	0	106	matua
292	292	father	tama-na	Fijian	1	1	A	T	1	1.T.C	2.0	tama-na	0	105	tama-na
#
102	102	feather	huru-manu	Maori	1	3	A	H	2	2.H.C	2.0	huru-manu	0	108	huru-manu
338	338	feather	vuti-na	Fijian		3	A	B	1	1.B.C	2.0	vuti-na	0	107	vuti-na
#
150	150	fire	ahi	Maori	1	7	X	A	2	2.A.V	1.5	ahi	0	110	ahi
385	385	fire	bukawaqa	Fijian	17	1	A	P	1	1.P.C	2.0	bukawaqa	0	109	bukawaqa
#
114	114	fish	ika	Maori	1	7	X	I	2	2.I.V	1.5	ika	0	111	ika
350	350	fish	ika	Fijian	1	7	X	I	1	1.I.V	1.5	ika	0	111	ika
#
119	119	flower	puaawai	Maori	1	1	A	P	2	2.P.C	2.0	puaawai	0	113	puaawai
357	357	flower	sÄ“ ni kau	Fijian	"9,18,14"	3 4 1	AXN	SNK	1	1.S.C 1.N.V 1.K.c	2.0 1.5 0.8	sÄ“nikau	0	112	sÄ“ ni kau
#
138	138	fog	kohu	Maori	"1, 47"	1	A	K	2	2.K.C	2.0	kohu	0	114	kohu
373	373	fog	kabukabu	Fijian	"1, 54"	1	A	K	1	1.K.C	2.0	kabukabu	0	114	kabukabu
#
120	120	fruit	hua	Maori	1	3	A	H	2	2.H.C	2.0	hua	0	116	hua
358	358	fruit	vua-na	Fijian	1	3	A	B	1	1.B.C	2.0	vua-na	0	115	vua-na
#
172	172	good	pai	Maori	76	1	A	P	2	2.P.C	2.0	pai	0	117	pai
406	406	good	vinaka	Fijian	21	3	A	B	1	1.B.C	2.0	vinaka	0	117	vinaka
#
121	121	grass	karaaihe	Maori	56	1	A	K	2	2.K.C	2.0	karaaihe	0	118	karaaihe
359	359	grass	cÅ	Fijian		1	A	C	1	1.C.C	2.0	cÅ	0	118	cÅ
#
158	158	green	kaakaariki	Maori		1	A	K	2	2.K.C	2.0	kaakaariki	0	119	kaakaariki
393	393	green	karakarawa	Fijian	"13, 52"	1	A	K	1	1.K.C	2.0	karakarawa	0	119	karakarawa
#
28	28	hair	makawe	Maori		4	A	M	2	2.M.C	2.0	makawe	0	121	makawe
256	256	hair	drau ni ulu-na	Fijian	40	1 4 7	ACX	TNY	1	1.T.C 1.N.C 1.Y.V	2.0 1.5 1.5	drauniulu-na	0	120	drau ni ulu-na
#
1	1	hand	ringa(ringa)	Maori	1	5	A	R	2	2.R.C	2.0	ringa(ringa)	0	123	ringa(ringa)
231	231	hand	liga-na	Fijian	1	5	A	L	1	1.L.C	2.0	liga-na	0	122	liga-na
#
196	196	he/she	ia	Maori	1	7	X	I	2	2.I.V	1.5	ia	0	125	ia
429	429	he/she	koya	Fijian	1	1	A	K	1	1.K.C	2.0	koya	0	124	koya
#
26	26	head	upoko	Maori	10	7	X	Y	2	2.Y.V	1.5	upoko	0	126	upoko
254	254	head	ulu-na	Fijian	1	7	X	Y	1	1.Y.V	1.5	ulu-na	0	126	ulu-na
#
149	149	heavy	taimaha	Maori	"46,66"	1	A	T	2	2.T.C	2.0	taimaha	0	128	taimaha
384	384	heavy	bÄ«bÄ«	Fijian	37	1	A	P	1	1.P.C	2.0	bÄ«bÄ«	0	127	bÄ«bÄ«
#
63	63	house	whare	Maori	14	6	A	W	2	2.W.C	2.0	whare	0	129	whare
293	293	house	vale	Fijian	14	3	A	B	1	1.B.C	2.0	vale	0	129	vale
#
212	212	how?	peehea	Maori	11	1	A	P	2	2.P.C	2.0	peehea	0	130	peehea
443	443	how?	vaka-cava	Fijian	35	3	A	B	1	1.B.C	2.0	vaka-cava	0	130	vaka-cava
#
59	59	husband	taane	Maori	14	1	A	T	2	2.T.C	2.0	taane	0	132	taane
289	289	husband	wati-na	Fijian		6	A	W	1	1.W.C	2.0	wati-na	0	131	wati-na
#
441	441	if	ke	Fijian	1	1	A	K	1	1.K.C	2.0	ke	0	133	ke
442	442	if	se	Fijian		3	A	S	1	1.S.C	2.0	se	0	134	se
#
18	18	intestines	wheekau	Maori	12	6	A	W	2	2.W.C	2.0	wheekau	0	135	wheekau
246	246	intestines	wÄwÄ	Fijian	11	6	A	W	1	1.W.C	2.0	wÄwÄ	0	135	wÄwÄ
#
132	132	lake	roto	Maori	6	5	A	R	2	2.R.C	2.0	roto	0	137	roto
367	367	lake	drano	Fijian	1	1	A	T	1	1.T.C	2.0	drano	0	136	drano
#
117	117	leaf	rau	Maori	1	5	A	R	2	2.R.C	2.0	rau	1	139	rau
354	354	leaf	drau ni kau	Fijian	1	1 4 1	AXN	TNK	1	1.T.C 1.N.V 1.K.c	2.0 1.5 0.8	draunikau	0	138	drau ni kau
#
2	2	left	mauii	Maori	"1,59"	4	A	M	2	2.M.C	2.0	mauii	0	140	- mauii
232	232	left	i mawÄ«	Fijian	"1,59"	7 4	XN	IM	1	1.I.V 1.M.c	1.5 0.8	imawÄ«	0	140	i mawÄ«
#
5	5	leg/foot	waewae	Maori	"1, 100"	6	A	W	2	2.W.C	2.0	waewae	0	142	waewae
234	234	leg/foot	yava-na	Fijian	25	7	X	Y	1	1.Y.V	1.5	yava-na	0	141	yava-na
#
141	141	lightning	uira	Maori	2	7	X	Y	2	2.Y.V	1.5	uira	0	144	uira
376	376	lightning	livaliva	Fijian	35	5	A	L	1	1.L.C	2.0	livaliva	0	143	livaliva
#
19	19	liver	ate	Maori	1	7	X	A	2	2.A.V	1.5	ate	0	145	ate
247	247	liver	yate-na	Fijian	1	7	X	Y	1	1.Y.V	1.5	yate-na	0	145	yate-na
#
163	163	long	roa	Maori	12	5	A	R	2	2.R.C	2.0	roa	0	147	roa
397	397	long	balavu	Fijian	16	1	A	P	1	1.P.C	2.0	balavu	0	146	balavu
#
111	111	louse	kutu	Maori	1	1	A	K	2	2.K.C	2.0	kutu	0	148	kutu
347	347	louse	kutu	Fijian	1	1	A	K	1	1.K.C	2.0	kutu	0	148	kutu
#
56	56	man/male	taane	Maori	"1,11"	1	A	T	2	2.T.C	2.0	taane	1	149	taane
286	286	man/male	tagane	Fijian	"1,11?"	1	A	T	1	1.T.C	2.0	tagane	0	149	tagane
#
106	106	meat/flesh	kiko	Maori	10	1	A	K	2	2.K.C	2.0	kiko	0	151	kiko
342	342	meat/flesh	viciko	Fijian	10	3	A	B	1	1.B.C	2.0	viciko	0	150	viciko
#
135	135	moon	marama	Maori	7	4	A	M	2	2.M.C	2.0	marama	0	153	marama
370	370	moon	vula	Fijian	1	3	A	B	1	1.B.C	2.0	vula	0	152	vula
#
