ID	CONCEPT	TOKENS	DOCULECT	COGNACY
285	person/human being	tamata	Fijian	"1,66"
286	man/male	tagane	Fijian	"1,11?"
287	woman/female	yalewa	Fijian	55
288	child	gone	Fijian	27
289	husband	wati-na	Fijian	
290	wife	wati-na	Fijian	30
291	mother	tina-na	Fijian	1
292	father	tama-na	Fijian	1
293	house	vale	Fijian	14
294	thatch/roof	i tibitibi	Fijian	
295	name	yaca-na	Fijian	"1,18"
296	to say	kaya	Fijian	
297	rope	dali	Fijian	1
298	rope	tÃ ly	Fijian	
299	"to tie up, fasten"	vau-ca	Fijian	11
300	"to tie up, fasten"	buki-a	Fijian	41
301	to sew	cula-a	Fijian	31
302	needle	i-cula	Fijian	21
303	needle	sau[laca]	Fijian	1
304	to hunt	vaka-sasa-a	Fijian	
305	to shoot	vana	Fijian	1
306	"to stab, pierce"	sua-ka	Fijian	54
307	to hit	vacu-a	Fijian	
308	to hit	yavi-ta	Fijian	
309	to steal	butako-ca	Fijian	1
310	to kill	moku-ta	Fijian	
311	to kill	vaka-mate-a	Fijian	2
312	"to die, be dead"	mate	Fijian	1
313	"to live, be alive"	bula	Fijian	28
314	to scratch	kadru-va	Fijian	44
315	to scratch	mila-a	Fijian	31
316	"to cut, hack"	tatÄ	Fijian	1
317	stick/wood	kau	Fijian	1
318	to split	tase-a	Fijian	
319	sharp	gata	Fijian	36
320	"dull, blunt"	[mucu]mucu	Fijian	10?
321	to work	cakacaka	Fijian	33
322	to work	mi-Ã sa	Fijian	
323	to plant	te-a	Fijian	
324	to choose	digi-a	Fijian	41
325	to grow	tubu	Fijian	1
326	to swell	vuce	Fijian	
327	to squeeze	boo	Fijian	42
328	to hold	taura	Fijian	35
329	to dig	keli-a	Fijian	1
330	to buy	voli-a	Fijian	1
331	"to open, uncover"	dola-va	Fijian	35
332	"to pound, beat"	tuki-a	Fijian	"20, 2"
333	to throw	viri-taka	Fijian	30
334	to fall	lutu-ka	Fijian	58
335	dog	koli	Fijian	7
336	bird	manumanu	Fijian	1
337	egg	yaloka	Fijian	30
338	feather	vuti-na	Fijian	
339	wing	taba-na	Fijian	35
340	to fly	vuka	Fijian	45
341	rat	kalavo	Fijian	1
342	meat/flesh	viciko	Fijian	10
343	fat/grease	uro	Fijian	44
344	tail	bui-na	Fijian	38
345	snake	gata	Fijian	12
346	worm (earthworm)	baca ni qele	Fijian	16
347	louse	kutu	Fijian	1
348	mosquito	namu	Fijian	1
349	spider	tina ni viritÄlawalawa	Fijian	1
350	fish	ika	Fijian	1
351	rotten	vuca	Fijian	9
352	rotten	midra	Fijian	
353	branch	taba-na	Fijian	13
354	leaf	drau ni kau	Fijian	1
355	root	vÅ«-na	Fijian	
356	root	waka-na	Fijian	2
357	flower	sÄ“ ni kau	Fijian	"9,18,14"
358	fruit	vua-na	Fijian	1
359	grass	cÅ	Fijian	
360	earth/soil	qele	Fijian	10
361	stone	vatu	Fijian	1
362	sand	nuku	Fijian	41
363	water	wai	Fijian	2
364	to flow	drÅdrÅ-va	Fijian	32
365	sea	wasawasa	Fijian	12
366	salt	mÄsima	Fijian	47
367	lake	drano	Fijian	1
368	woods/forest	veikau	Fijian	13
369	sky	lomÄlagi	Fijian	1
370	moon	vula	Fijian	1
371	star	kalokalo	Fijian	28
372	cloud	Å	Fijian	12
373	fog	kabukabu	Fijian	"1, 54"
374	rain	uca	Fijian	1
375	thunder	kurukuru	Fijian	"2, 63"
376	lightning	livaliva	Fijian	35
377	wind	cagi	Fijian	1
378	to blow	uvu-ca	Fijian	"4,57"
379	to blow	liwa	Fijian	36
380	warm	katakata	Fijian	36
381	cold	batabatÄ	Fijian	42
382	dry	maca	Fijian	11
383	wet	suasua	Fijian	11
384	heavy	bÄ«bÄ«	Fijian	37
385	fire	bukawaqa	Fijian	17
386	to burn	vaka-caudre-va	Fijian	
387	smoke	kubou	Fijian	57
388	ash	dravu	Fijian	67
